Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,12/11/15,104.150002,104.339996,101.910004,102.120003,102.011765,26427700
META,12/14/15,102.290001,104.739998,101.459999,104.660004,104.549072,24648100
META,12/15/15,105.300003,105.800003,104.279999,104.550003,104.439194,21764300
META,12/16/15,105.370003,107.089996,104.190002,106.790001,106.676819,22680500
META,12/17/15,107.489998,107.75,106.129997,106.220001,106.107422,21675700
META,12/18/15,106.080002,106.589996,103.970001,104.040001,103.929733,35994200
META,12/21/15,104.910004,105.150002,103.599998,104.769997,104.658951,16138800
META,12/22/15,105.220001,105.660004,104.809998,105.510002,105.39817,14597100
META,12/23/15,105.889999,106.110001,103.860001,104.629997,104.519104,19599700
META,12/24/15,104.739998,105.32,104.5,105.019997,104.908684,6501800
META,12/28/15,105.019997,105.980003,104.529999,105.93,105.817726,13069700
META,12/29/15,106.419998,107.739998,106.25,107.260002,107.146317,17179900
META,12/30/15,107,107.25,106.059998,106.220001,106.107422,13115000
META,12/31/15,106,106.169998,104.620003,104.660004,104.549072,18391100
META,1/4/16,101.949997,102.239998,99.75,102.220001,102.111656,37912400
META,1/5/16,102.889999,103.709999,101.669998,102.730003,102.621124,23258200
META,1/6/16,101.129997,103.769997,100.900002,102.970001,102.860863,25096200
META,1/7/16,100.5,101.43,97.300003,97.919998,97.816216,45172900
META,1/8/16,99.879997,100.5,97.029999,97.330002,97.226845,35402300
META,1/11/16,97.910004,98.599998,95.389999,97.510002,97.406654,29932400
META,1/12/16,99,99.959999,97.550003,99.370003,99.264679,28395400
META,1/13/16,100.580002,100.580002,95.209999,95.440002,95.338844,33410600
META,1/14/16,95.849998,98.870003,92.449997,98.370003,98.265739,48658600
META,1/15/16,93.980003,96.379997,93.540001,94.970001,94.869347,46132800
META,1/19/16,96.529999,97.419998,93.919998,95.260002,95.159035,30998300
META,1/20/16,92.830002,95,89.370003,94.349998,94.25,59051400
META,1/21/16,94.910004,95.989998,92.620003,94.160004,94.060204,30518900
META,1/22/16,96.410004,98.07,95.489998,97.940002,97.836197,30495400
META,1/25/16,98.720001,99.480003,96.93,97.010002,96.907181,32482000
META,1/26/16,97.760002,97.879997,95.660004,97.339996,97.236824,26877100
META,1/27/16,97.790001,97.849998,94.230003,94.449997,94.349892,58699400
META,1/28/16,107.199997,110.339996,104.809998,109.110001,108.994354,107475300
META,1/29/16,108.989998,112.839996,108.839996,112.209999,112.091072,62739500
META,2/1/16,112.269997,115.720001,112.010002,115.089996,114.96801,46132700
META,2/2/16,114.800003,117.589996,113.199997,114.610001,114.488525,59778600
META,2/3/16,115.269997,115.339996,109.75,112.690002,112.570564,56919300
META,2/4/16,111.800003,111.940002,109.25,110.489998,110.372894,38890200
META,2/5/16,109.510002,109.580002,103.18,104.07,103.959694,76894700
META,2/8/16,100.410004,102.68,97.459999,99.75,99.644279,71229700
META,2/9/16,97.139999,102.400002,96.82,99.540001,99.434502,62709000
META,2/10/16,101.550003,103.25,100.239998,101,100.892952,45179400
META,2/11/16,99.599998,105.110001,98.879997,101.910004,101.801987,43670600
META,2/12/16,103.739998,104.239998,101.089996,102.010002,101.901886,36176800
META,2/16/16,103.800003,103.93,100.239998,101.610001,101.502304,45687200
META,2/17/16,102.019997,105.720001,100.400002,105.199997,105.088493,44073400
META,2/18/16,105.800003,106,103.029999,103.470001,103.360336,29593500
META,2/19/16,102.550003,105.019997,102.059998,104.57,104.459167,32404500
META,2/22/16,105.489998,108.25,105.339996,107.160004,107.046425,35709700
META,2/23/16,106.849998,107.470001,105.120003,105.459999,105.348221,25319300
META,2/24/16,104.209999,106.949997,102.739998,106.879997,106.766716,34412400
META,2/25/16,107.110001,108.07,105.610001,108.07,107.95546,29906300
META,2/26/16,108.699997,109.449997,107.160004,107.919998,107.805618,26686200
META,2/29/16,107.599998,108.910004,106.75,106.919998,106.806671,32779000
META,3/1/16,107.830002,109.82,107.599998,109.82,109.703606,26817300
META,3/2/16,109.68,110.550003,108.769997,109.949997,109.833466,25670200
META,3/3/16,110.25,110.300003,108.540001,109.580002,109.46386,21353100
META,3/4/16,110.050003,110.050003,107.93,108.389999,108.275116,24938900
